Country_name,Province_State,Confirmed,Deaths
Afghanistan,,176039,7641
Albania,,272621,3485
Algeria,,265410,6862
Andorra,,38794,152
Angola,,98909,1900
Antarctica,,11,0
Antigua and Barbuda,,7466,135
Argentina,,8970196,127122
Armenia,,421953,8570
Australia,Australian Capital Territory,59305,37
Australia,New South Wales,1461656,1982
Australia,Northern Territory,44862,31
Australia,Queensland,624608,632
Australia,South Australia,177881,222
Australia,Tasmania,57755,26
Australia,Victoria,1123413,2644
Australia,Western Australia,46986,13
Austria,,3115867,15180
Azerbaijan,,790575,9599
Bahamas,,33194,771
Bahrain,,536241,1462
Bangladesh,,1949253,29108
Barbados,,56922,324
Belarus,,939514,6647
Belgium,Antwerp,555712,0
Belgium,Brussels,416813,0
Belgium,East Flanders,469204,0
Belgium,Flemish Brabant,338023,0
Belgium,Hainaut,420934,0
Belgium,Liege,349609,0
Belgium,Limburg,261428,0
Belgium,Luxembourg,95501,0
Belgium,Namur,163338,0
Belgium,Unknown,53600,30408
Belgium,Walloon Brabant,137090,0
Belgium,West Flanders,378800,0
Belize,,57034,652
Benin,,26575,163
Bhutan,,17150,7
Bolivia,,897351,21473
Bosnia and Herzegovina,,373105,15614
Botswana,,263950,2619
Brazil,Acre,123370,1988
Brazil,Alagoas,294181,6795
Brazil,Amapa,160205,2118
Brazil,Amazonas,578096,14141
Brazil,Bahia,1518103,29484
Brazil,Ceara,1233886,26563
Brazil,Distrito Federal,687931,11508
Brazil,Espirito Santo,1031831,14235
Brazil,Goias,1216861,26014
Brazil,Maranhao,418340,10842
Brazil,Mato Grosso,717362,14805
Brazil,Mato Grosso do Sul,514443,10440
Brazil,Minas Gerais,3264720,60319
Brazil,Para,735351,17974
Brazil,Paraiba,586432,10153
Brazil,Parana,2379905,42655
Brazil,Pernambuco,864814,21208
Brazil,Piaui,366533,7699
Brazil,Rio Grande do Norte,484761,8094
Brazil,Rio Grande do Sul,2215403,38708
Brazil,Rio de Janeiro,2036283,72180
Brazil,Rondonia,383525,7117
Brazil,Roraima,154562,2139
Brazil,Santa Catarina,1647105,21554
Brazil,Sao Paulo,5123695,166086
Brazil,Sergipe,322383,6284
Brazil,Tocantins,300943,4131
Brunei,,109538,163
Bulgaria,,1112176,36084
Burkina Faso,,20751,375
Burma,,604860,19406
Burundi,,38248,38
Cabo Verde,,55906,401
Cambodia,,133943,3046
Cameroon,,119322,1926
Canada,Alberta,530761,4003
Canada,British Columbia,352039,2935
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,132681,1710
Canada,New Brunswick,41512,317
Canada,Newfoundland and Labrador,29365,76
Canada,Northwest Territories,9514,20
Canada,Nova Scotia,48471,218
Canada,Nunavut,3265,5
Canada,Ontario,1135292,12638
Canada,Prince Edward Island,19703,16
Canada,Quebec,935709,14168
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,129301,1148
Canada,Yukon,3555,23
Central African Republic,,14320,113
Chad,,7260,190
Chile,Antofagasta,116813,1427
Chile,Araucania,196775,1819
Chile,Arica y Parinacota,53429,651
Chile,Atacama,60637,435
Chile,Aysen,22574,136
Chile,Biobio,315170,3293
Chile,Coquimbo,113812,1286
Chile,Los Lagos,179314,1775
Chile,Los Rios,98031,894
Chile,Magallanes,47867,578
Chile,Maule,212529,2148
Chile,Metropolitana,1255531,21413
Chile,Nuble,89037,802
Chile,OHiggins,134482,1805
Chile,Tarapaca,77643,951
Chile,Unknown,43,0
Chile,Valparaiso,276203,4114
China,Anhui,1017,6
China,Beijing,1627,9
China,Chongqing,636,6
China,Fujian,1593,1
China,Gansu,540,2
China,Guangdong,5779,8
China,Guangxi,1260,2
China,Guizhou,164,2
China,Hainan,193,6
China,Hebei,1607,7
China,Heilongjiang,2114,13
China,Henan,2709,22
China,Hong Kong,610300,3729
China,Hubei,68386,4512
China,Hunan,1237,4
China,Inner Mongolia,1666,1
China,Jiangsu,1910,0
China,Jiangxi,959,1
China,Jilin,1269,3
China,Liaoning,1052,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,32,0
China,Shaanxi,2958,3
China,Shandong,1751,7
China,Shanghai,4761,7
China,Shanxi,295,0
China,Sichuan,1560,3
China,Tianjin,1273,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,2004,2
China,Zhejiang,2395,1
Colombia,Amazonas,7555,264
Colombia,Antioquia,917144,18204
Colombia,Arauca,16261,527
Colombia,Atlantico,401792,10118
Colombia,Bolivar,196859,3236
Colombia,Boyaca,124679,2775
Colombia,Caldas,116785,2523
Colombia,Capital District,1762123,29241
Colombia,Caqueta,24871,1018
Colombia,Casanare,41554,994
Colombia,Cauca,72104,1785
Colombia,Cesar,106269,2667
Colombia,Choco,18577,426
Colombia,Cordoba,118881,3926
Colombia,Cundinamarca,317408,7255
Colombia,Guainia,2755,37
Colombia,Guaviare,5582,105
Colombia,Huila,100165,3495
Colombia,La Guajira,56206,1520
Colombia,Magdalena,114686,3620
Colombia,Meta,104803,2531
Colombia,Narino,104372,3302
Colombia,Norte de Santander,119451,5065
Colombia,Putumayo,20459,769
Colombia,Quindio,70740,2052
Colombia,Risaralda,106194,2464
Colombia,San Andres y Providencia,10147,154
Colombia,Santander,282551,8142
Colombia,Sucre,65604,1713
Colombia,Tolima,124187,3993
Colombia,Unknown,677,300
Colombia,Valle del Cauca,539613,14982
Colombia,Vaupes,1887,19
Colombia,Vichada,3392,61
Comoros,,8060,160
Congo (Brazzaville),,24049,378
Congo (Kinshasa),,86315,1335
Costa Rica,,822935,8160
Cote d'Ivoire,,81594,796
Croatia,,1072430,15321
Cuba,,1076229,8503
Cyprus,,350688,899
Czechia,,3678771,39126
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11856,20
Denmark,,2943947,5128
Diamond Princess,,712,13
Djibouti,,15564,189
Dominica,,11502,62
Dominican Republic,,576367,4374
Ecuador,,843760,35316
Egypt,,495373,24277
El Salvador,,156364,4095
Equatorial Guinea,,15895,183
Eritrea,,9721,103
Estonia,,529793,2346
Eswatini,,69429,1392
Ethiopia,,469170,7485
Fiji,,64067,834
Finland,,734262,2653
France,French Guiana,77986,394
France,French Polynesia,70158,643
France,Guadeloupe,126256,919
France,Martinique,128154,902
France,Mayotte,36745,187
France,New Caledonia,59299,305
France,Reunion,310181,680
France,Saint Barthelemy,3780,6
France,Saint Pierre and Miquelon,1316,1
France,St Martin,9912,63
France,Wallis and Futuna,454,7
France,,22741033,136947
Gabon,,47564,303
Gambia,,11963,365
Georgia,,1634686,16530
Germany,Baden-Wurttemberg,2466607,14645
Germany,Bayern,3227512,21885
Germany,Berlin,798224,4297
Germany,Brandenburg,589471,5293
Germany,Bremen,125486,694
Germany,Hamburg,376829,2341
Germany,Hessen,1191052,9364
Germany,Mecklenburg-Vorpommern,300321,1856
Germany,Niedersachsen,1264256,7685
Germany,Nordrhein-Westfalen,3514581,22798
Germany,Rheinland-Pfalz,684765,5103
Germany,Saarland,189748,1439
Germany,Sachsen,1063218,14444
Germany,Sachsen-Anhalt,486362,4861
Germany,Schleswig-Holstein,383013,2187
Germany,Thuringen,480233,6685
Germany,Unknown,56687,0
Ghana,,160693,1445
Greece,,2623628,26513
Grenada,,13690,216
Guatemala,,804709,17144
Guinea,,36427,440
Guinea-Bissau,,8050,168
Guyana,,63127,1224
Haiti,,30446,827
Holy See,,29,0
Honduras,,416729,10834
Hungary,,1814362,44653
Iceland,,158533,79
India,Andaman and Nicobar Islands,10025,129
India,Andhra Pradesh,2318801,14730
India,Arunachal Pradesh,64481,296
India,Assam,724171,6639
India,Bihar,830364,12255
India,Chandigarh,91854,1165
India,Chhattisgarh,1151784,14034
India,Dadra and Nagar Haveli and Daman and Diu,11440,4
India,Delhi,1862802,26141
India,Goa,245200,3830
India,Gujarat,1223562,10938
India,Haryana,983898,10586
India,Himachal Pradesh,284071,4126
India,Jammu and Kashmir,453422,4749
India,Jharkhand,434933,5315
India,Karnataka,3943642,40018
India,Kerala,6520213,66793
India,Ladakh,28175,228
